,1. open,2. high,3. low,4. close,5. volume
2024-06-20 15:55:00,547.71,547.71,546.59,546.95,5543272.0
2024-06-20 15:50:00,547.01,547.76,546.75,547.71,2921689.0
2024-06-20 15:45:00,547.18,547.54,546.98,547.015,934865.0
2024-06-20 15:40:00,546.8,547.28,546.79,547.185,737153.0
2024-06-20 15:35:00,547.49,547.54,546.58,546.805,1223951.0
2024-06-20 15:30:00,547.16,547.53,546.73,547.47,766721.0
2024-06-20 15:25:00,546.04,547.19,546.04,547.15,1037452.0
2024-06-20 15:20:00,546.52,546.64,545.77,546.04,609804.0
2024-06-20 15:15:00,546.9,546.907,546.47,546.51,1033637.0
2024-06-20 15:10:00,546.68,546.99,546.54,546.92,458965.0
2024-06-20 15:05:00,546.45,546.76,546.2,546.67,585300.0
2024-06-20 15:00:00,547.18,547.3,546.16,546.45,712685.0
2024-06-20 14:55:00,547.36,547.64,547.15,547.18,775348.0
2024-06-20 14:50:00,547.525,547.56,547.17,547.35,708826.0
2024-06-20 14:45:00,547.38,547.6,547.33,547.53,762149.0
2024-06-20 14:40:00,547.435,547.72,547.27,547.39,551826.0
2024-06-20 14:35:00,547.79,547.81,547.21,547.439,569370.0
2024-06-20 14:30:00,548.06,548.19,547.77,547.776,488673.0
2024-06-20 14:25:00,547.93,548.14,547.62,548.055,479541.0
2024-06-20 14:20:00,547.79,547.93,547.455,547.92,671925.0
2024-06-20 14:15:00,547.57,547.9,547.55,547.77,794283.0
2024-06-20 14:10:00,547.75,547.84,547.37,547.56,573511.0
2024-06-20 14:05:00,547.73,547.94,547.65,547.76,584817.0
2024-06-20 14:00:00,547.03,547.73,546.95,547.73,582844.0
2024-06-20 13:55:00,546.49,547.05,546.49,547.02,447400.0
2024-06-20 13:50:00,546.44,546.64,546.26,546.54,345411.0
2024-06-20 13:45:00,546.58,546.67,546.2,546.45,683237.0
2024-06-20 13:40:00,545.52,546.64,545.51,546.58,831655.0
2024-06-20 13:35:00,545.64,545.789,545.18,545.5,648838.0
2024-06-20 13:30:00,546.0,546.44,545.5,545.665,1065367.0
2024-06-20 13:25:00,546.069,546.17,545.81,546.02,339783.0
2024-06-20 13:20:00,546.61,546.63,545.99,546.07,522184.0
2024-06-20 13:15:00,546.59,546.94,546.57,546.62,221416.0
2024-06-20 13:10:00,545.91,546.78,545.88,546.605,501154.0
2024-06-20 13:05:00,546.439,546.63,545.74,545.9,1643749.0
2024-06-20 13:00:00,547.27,547.27,546.41,546.47,263828.0
2024-06-20 12:55:00,547.235,547.37,546.93,547.28,287244.0
2024-06-20 12:50:00,547.23,547.705,547.22,547.24,257870.0
2024-06-20 12:45:00,546.95,547.4,546.92,547.205,395477.0
2024-06-20 12:40:00,546.51,547.17,546.51,546.955,1023030.0
2024-06-20 12:35:00,546.28,546.67,546.08,546.51,821894.0
2024-06-20 12:30:00,546.96,546.99,545.99,546.265,1004822.0
2024-06-20 12:25:00,547.415,547.88,546.94,546.96,632372.0
2024-06-20 12:20:00,548.325,548.38,547.32,547.41,721791.0
2024-06-20 12:15:00,548.56,548.64,548.31,548.329,718552.0
2024-06-20 12:10:00,548.4,548.66,548.366,548.551,351214.0
2024-06-20 12:05:00,548.35,548.62,548.34,548.39,544545.0
2024-06-20 12:00:00,548.34,548.54,548.28,548.34,334627.0
2024-06-20 11:55:00,548.615,548.649,548.35,548.36,241065.0
2024-06-20 11:50:00,548.35,548.8,548.33,548.6,315610.0
2024-06-20 11:45:00,548.92,548.989,548.32,548.34,319888.0
2024-06-20 11:40:00,548.84,549.12,548.84,548.92,297288.0
2024-06-20 11:35:00,549.01,549.079,548.82,548.83,186880.0
2024-06-20 11:30:00,548.81,549.039,548.7,549.03,229518.0
2024-06-20 11:25:00,548.945,548.945,548.69,548.81,259727.0
2024-06-20 11:20:00,549.04,549.1,548.71,548.95,387996.0
2024-06-20 11:15:00,549.41,549.42,548.98,549.058,385236.0
2024-06-20 11:10:00,549.39,549.405,549.25,549.4,527789.0
2024-06-20 11:05:00,549.17,549.53,549.14,549.4,489469.0
2024-06-20 11:00:00,549.23,549.39,549.1,549.19,297004.0
2024-06-20 10:55:00,548.91,549.27,548.84,549.23,283417.0
2024-06-20 10:50:00,548.71,549.02,548.71,548.91,225602.0
2024-06-20 10:45:00,549.03,549.14,548.67,548.715,294923.0
2024-06-20 10:40:00,549.134,549.134,548.8,549.025,222393.0
2024-06-20 10:35:00,549.125,549.184,548.87,549.13,291739.0
2024-06-20 10:30:00,549.06,549.39,548.944,549.13,380213.0
2024-06-20 10:25:00,548.7,549.195,548.652,549.075,259965.0
2024-06-20 10:20:00,548.46,549.04,548.405,548.69,831558.0
2024-06-20 10:15:00,548.7,548.84,548.4,548.46,519805.0
2024-06-20 10:10:00,549.12,549.22,548.43,548.7,1532663.0
2024-06-20 10:05:00,549.67,549.7,549.1,549.11,303899.0
2024-06-20 10:00:00,549.6,549.82,549.482,549.67,1102876.0
2024-06-20 09:55:00,549.822,549.92,549.45,549.61,244595.0
2024-06-20 09:50:00,550.02,550.06,549.79,549.84,840273.0
2024-06-20 09:45:00,549.94,550.12,549.88,550.01,572049.0
2024-06-20 09:40:00,549.28,549.96,549.2,549.95,585756.0
2024-06-20 09:35:00,548.99,549.35,548.96,549.295,447109.0
2024-06-20 09:30:00,549.44,549.48,548.81,548.98,1171110.0
2024-06-18 15:55:00,548.42,548.5,548.0,548.49,4270989.0
2024-06-18 15:50:00,547.73,548.475,547.69,548.38,1103938.0
2024-06-18 15:45:00,547.97,548.11,547.73,547.75,1213323.0
2024-06-18 15:40:00,548.13,548.23,547.93,547.965,892203.0
2024-06-18 15:35:00,548.07,548.2,548.0,548.13,881731.0
2024-06-18 15:30:00,547.9,548.08,547.72,548.07,410575.0
2024-06-18 15:25:00,547.88,548.07,547.76,547.885,337259.0
2024-06-18 15:20:00,547.77,547.94,547.76,547.885,178007.0
2024-06-18 15:15:00,547.68,547.87,547.66,547.76,345221.0
2024-06-18 15:10:00,547.545,547.75,547.411,547.68,234173.0
2024-06-18 15:05:00,547.62,547.74,547.42,547.545,260770.0
2024-06-18 15:00:00,548.04,548.052,547.57,547.615,1453908.0
2024-06-18 14:55:00,547.84,548.03,547.74,548.03,199325.0
2024-06-18 14:50:00,547.73,547.91,547.72,547.83,154402.0
2024-06-18 14:45:00,547.72,547.85,547.71,547.721,335917.0
2024-06-18 14:40:00,547.71,547.9,547.6,547.71,366875.0
2024-06-18 14:35:00,547.83,547.83,547.559,547.69,466428.0
2024-06-18 14:30:00,547.74,547.9,547.685,547.83,183798.0
2024-06-18 14:25:00,547.56,547.95,547.42,547.744,233385.0
2024-06-18 14:20:00,547.72,547.83,547.53,547.54,313215.0
2024-06-18 14:15:00,547.82,547.89,547.64,547.72,287448.0
2024-06-18 14:10:00,547.88,548.13,547.78,547.83,527332.0
